beta1,beta2,beta3,beta_v,beta_z_infinity
0.171428571429,0,0.8,8.68571428571,0.704152707678
0.171428571429,0,0.828571428571,8,0.689673315674
0.171428571429,0,0.857142857143,7.31428571429,0.674812606669
0.171428571429,0,0.885714285714,6.62857142857,0.659591576222
0.171428571429,0,0.914285714286,5.94285714286,0.64403398001
0.171428571429,0,0.942857142857,5.25714285714,0.628166247847
0.171428571429,0,0.971428571429,4.57142857143,0.612017355761
0.171428571429,0,1,3.88571428571,0.595618656113
0.2,0,0,27.2,0.938102850413
0.2,0,0.0285714285714,26.5142857143,0.933999738363
0.2,0,0.0571428571429,25.8285714286,0.929645046642
0.2,0,0.0857142857143,25.1428571429,0.925026111887
0.2,0,0.114285714286,24.4571428571,0.920130005238
0.2,0,0.142857142857,23.7714285714,0.914943581126
0.2,0,0.171428571429,23.0857142857,0.909453534814
0.2,0,0.2,22.4,0.903646469315
0.2,0,0.228571428571,21.7142857143,0.897508972279
0.2,0,0.257142857143,21.0285714286,0.891027703364
0.2,0,0.285714285714,20.3428571429,0.884189492474
0.2,0,0.314285714286,19.6571428571,0.876981449141
0.2,0,0.342857142857,18.9714285714,0.869391083141
0.2,0,0.371428571429,18.2857142857,0.861406436223
0.2,0,0.4,17.6,0.853016224597
0.2,0,0.428571428571,16.9142857143,0.844209991528
0.2,0,0.457142857143,16.2285714286,0.834978269073
0.2,0,0.485714285714,15.5428571429,0.825312747651
0.2,0,0.514285714286,14.8571428571,0.815206451718
0.2,0,0.542857142857,14.1714285714,0.804653919479
0.2,0,0.571428571429,13.4857142857,0.79365138409
0.2,0,0.6,12.8,0.782196953458
0.2,0,0.628571428571,12.1142857143,0.770290785308
0.2,0,0.657142857143,11.4285714286,0.757935253882
0.2,0,0.685714285714,10.7428571429,0.74513510431
0.2,0,0.714285714286,10.0571428571,0.731897590505
