beta1,beta2,nand_beta_z,or_beta_z,xor_beta_z
0.25786163522,0,0.999999997659,0.0203310860606,0.000463826578566
0.264150943396,0,0.999999997411,0.0224351337886,0.000479699370126
0.270440251572,0,0.999999997137,0.024751422075,0.000497801835547
0.276729559748,0,0.999999996834,0.0273001691432,0.000518511023865
0.283018867925,0,0.999999996498,0.0301032628571,0.000542282443259
0.289308176101,0,0.999999996128,0.0331843428675,0.000569669761755
0.295597484277,0,0.999999995718,0.0365688737305,0.000601350277591
0.301886792453,0,0.999999995264,0.0402842051504,0.000638158077826
0.308176100629,0,0.999999994763,0.0443596147637,0.000681127515279
0.314465408805,0,0.999999994209,0.0488263280793,0.000731550635215
0.320754716981,0,0.999999993595,0.0537175093387,0.000791053603003
0.327044025157,0,0.999999992917,0.059068216189,0.000861699211721
0.333333333333,0,0.999999992168,0.0649153102005,0.000946125464578
0.339622641509,0,0.999999991338,0.0712973144729,0.0010477344514
0.345911949686,0,0.999999990421,0.0782542089207,0.00117095189941
0.352201257862,0,0.999999989407,0.0858271534068,0.00132158682455
0.358490566038,0,0.999999988286,0.0940581288108,0.00150733407589
0.364779874214,0,0.999999987046,0.102989486505,0.0017384824272
0.37106918239,0,0.999999985675,0.112663397713,0.00202892053112
0.377358490566,0,0.999999984158,0.12312119601,0.00239757751811
0.383647798742,0,0.999999982481,0.134402608914,0.00287050184227
0.389937106918,0,0.999999980626,0.146544878301,0.00348388240741
0.396226415094,0,0.999999978575,0.159581774279,0.00428846652468
0.40251572327,0,0.999999976307,0.173542513292,0.00535605316544
0.408805031447,0,0.999999973799,0.188450598404,0.00678906826974
0.415094339623,0,0.999999971025,0.204322607868,0.00873469780494
0.421383647799,0,0.999999967957,0.221166966696,0.0114056933292
0.427672955975,0,0.999999964565,0.238982744632,0.0151107603669
0.433962264151,0,0.999999960814,0.257758531811,0.0202982427443
0.440251572327,0,0.999999956665,0.277471449737,0.0276171310199
0.446540880503,0,0.999999952077,0.298086358972,0.0379979807041
0.452830188679,0,0.999999947004,0.319555325237,0.052750341478
0.459119496855,0,0.999999941394,0.341817401584,0.0736575910117
0.465408805031,0,0.999999935189,0.364798775442,0.103017330223
0.471698113208,0,0.999999928328,0.388413315522,0.143521971284
0.477987421384,0,0.99999992074,0.412563535133,0.197818907122
0.48427672956,0,0.999999912349,0.437141966511,0.267609351947
0.490566037736,0,0.99999990307,0.462032916747,0.352378314886
0.496855345912,0,0.999999892808,0.48711455184,0.448341168245
0.503144654088,0,0.99999988146,0.5122612335,0.548568345176
0.509433962264,0,0.999999868911,0.537346015791,0.644778207806
0.51572327044,0,0.999999855033,0.562243197272,0.729965536459
0.522012578616,0,0.999999839686,0.58683082031,0.800239337949
0.528301886792,0,0.999999822714,0.610993013041,0.854996572569
0.534591194969,0,0.999999803946,0.634622080696,0.895890110396
0.540880503145,0,0.99999978319,0.65762027042,0.92555388484
0.547169811321,0,0.999999760238,0.679901155534,0.946687234391
0.553459119497,0,0.999999734855,0.701390609227,0.961602595127
0.559748427673,0,0.999999706785,0.722027361676,0.972098867384
0.566037735849,0,0.999999675743,0.74176315667,0.979498773845
0.572327044025,0,0.999999641416,0.760562542304,0.984742988895
0.578616352201,0,0.999999603454,0.778402344249,0.988487864701
0.584905660377,0,0.999999561473,0.795270879124,0.991186938594
0.591194968553,0,0.999999515047,0.811166969604,0.993152518655
0.59748427673,0,0.999999463707,0.826098822723,0.994599834995
0.603773584906,0,0.999999406932,0.840082829121,0.995677774554
0.610062893082,0,0.999999344146,0.853142334713,0.996489932172
0.616352201258,0,0.999999274714,0.865306428377,0.997108913283
0.622641509434,0,0.99999919793,0.876608780603,0.997586024849
0.62893081761,0,0.999999113018,0.887086559415,0.997957846907
0.635220125786,0,0.999999019117,0.896779441708,0.998250703458
0.641509433962,0,0.999998915275,0.905728730942,0.998483719409
