drive_amplitude,buffer_coupling,coupling_scale,direct_accuracy,buffered_accuracy,direct_min_margin,buffered_min_margin,margin_gain,trace_distance_gain,buffered_work_proxy,three_phase_label
0.2,0.02,1.5,1.0,1.0,0.499950293953461,0.45464977676587015,-0.04530051718759087,-0.0005592785866032346,-0.003065319651855944,robust_pass
0.2,0.02,2.0,1.0,1.0,0.4999098373002768,0.4665292032997599,-0.03338063400051694,-0.00041306179827824835,-0.003961462634544298,robust_pass
0.2,0.04,0.5,1.0,1.0,0.49587993549917786,0.2214858349131008,-0.27439410058607705,-0.003376683592961831,-0.0011684497687128076,robust_pass
0.2,0.04,1.0,1.0,1.0,0.49994201078120737,0.277289889662812,-0.22265212111839539,-0.0027524565378149943,-0.002126575648027515,robust_pass
0.2,0.04,1.5,1.0,1.0,0.499950293953461,0.33026499837617784,-0.16968529557728318,-0.0020962892458956106,-0.0030570733273909247,robust_pass
0.2,0.04,2.0,1.0,1.0,0.4999098373002768,0.37262751251100146,-0.12728232478927537,-0.0015730982361669213,-0.003950389098745691,robust_pass
0.2,0.08,0.5,1.0,0.5,0.49587993549917786,0.2759389798490386,-0.21994095565013927,-0.009520582744883294,-0.0011542796422870116,fail
0.2,0.08,1.0,1.0,0.5,0.49994201078120737,0.1674461946035124,-0.33249581617769497,-0.00826350199710528,-0.0021179253116127656,fail
0.2,0.08,1.5,1.0,0.5,0.499950293953461,0.041013347381525955,-0.45893694657193507,-0.006694063803874668,-0.0030431500781639086,fail
0.2,0.08,2.0,1.0,1.0,0.4999098373002768,0.07236719645367229,-0.42754264084660454,-0.005289016620610626,-0.00392368730648431,robust_pass
0.35,0.0,0.5,1.0,1.0,0.49587993549917786,0.4958368809935869,-4.3054505590944814e-05,-2.12866827917213e-06,-0.0035723890211372365,robust_pass
0.35,0.0,1.0,1.0,1.0,0.49994201078120737,0.4999136191547955,-2.839162641188331e-05,-1.30441553075622e-06,-0.0064629041764594514,robust_pass
0.35,0.0,1.5,1.0,1.0,0.499950293953461,0.4999471524360719,-3.1415173891158332e-06,1.681420984944726e-07,-0.009282178894230855,robust_pass
0.35,0.0,2.0,1.0,1.0,0.4999098373002768,0.4999474284064662,3.75911061893941e-05,-3.110066867373362e-07,-0.011988671448288107,robust_pass
0.35,0.01,0.5,1.0,1.0,0.49587993549917786,0.47053249162433275,-0.02534744387484511,-0.000300264225698163,-0.003567777947435978,robust_pass
0.35,0.01,1.0,1.0,1.0,0.49994201078120737,0.48262918235866503,-0.017312828422542337,-0.000214846384827376,-0.0064579787393245925,robust_pass
0.35,0.01,1.5,1.0,1.0,0.499950293953461,0.4875361428566036,-0.012414151096857395,-0.00015320923822846957,-0.009277073924278376,robust_pass
0.35,0.01,2.0,1.0,1.0,0.4999098373002768,0.49102999993302165,-0.008879837367255172,-0.00011055779294796841,-0.011983197953419811,robust_pass
0.35,0.02,0.5,1.0,1.0,0.49587993549917786,0.402666491038949,-0.09321344446022883,-0.0011292333870252802,-0.0035542105628447165,robust_pass
0.35,0.02,1.0,1.0,1.0,0.49994201078120737,0.43252971755388736,-0.06741229322732001,-0.0008336492030786707,-0.006444485762219341,robust_pass
0.35,0.02,1.5,1.0,1.0,0.499950293953461,0.45117024513303994,-0.048780048820421085,-0.0006022473695412867,-0.009262369231106592,robust_pass
0.35,0.02,2.0,1.0,1.0,0.4999098373002768,0.46470870027745126,-0.03520113702282557,-0.0004355431680894972,-0.011967746186629487,robust_pass
0.35,0.04,0.5,1.0,1.0,0.49587993549917786,0.18524839953895067,-0.3106315359602272,-0.0038317790479828334,-0.003506424028694075,robust_pass
0.35,0.04,1.0,1.0,1.0,0.49994201078120737,0.25526928194123255,-0.24467272883997482,-0.0030252749190663175,-0.006397326090743109,robust_pass
0.35,0.04,1.5,1.0,1.0,0.499950293953461,0.3180728479191046,-0.1818774460343564,-0.002247063351531582,-0.00921160734970124,robust_pass
0.35,0.04,2.0,1.0,1.0,0.4999098373002768,0.36601662347963937,-0.13389321382063746,-0.001654811781271328,-0.011911945237990305,robust_pass
0.35,0.08,0.5,1.0,0.5,0.49587993549917786,0.3420509581795337,-0.15382897731964418,-0.010363539046699134,-0.003419932971692321,fail
0.35,0.08,1.0,1.0,0.5,0.49994201078120737,0.21597480180338202,-0.28396720897782535,-0.008866184503463402,-0.006302495883398423,fail
