architecture,initial_state,time,system_excited_population,system_purity,drive_power
direct,ground,15.0,0.5108677351308303,0.5002362153337478,0.0
direct,ground,15.071428571428571,0.5121223779628131,0.5002939040949467,0.0
direct,ground,15.142857142857142,0.5133698717203149,0.5003575069396354,0.0
direct,ground,15.214285714285714,0.5146102571382898,0.500426919227294,0.0
direct,ground,15.285714285714285,0.5158435747218917,0.5005020377199364,0.0
direct,ground,15.357142857142856,0.5170698647480317,0.5005827605650323,0.0
direct,ground,15.428571428571427,0.5182891672669366,0.5006689872786361,0.0
direct,ground,15.5,0.519501522103706,0.5007606187287228,0.0
direct,ground,15.571428571428571,0.5207069688598706,0.5008575571187274,0.0
direct,ground,15.642857142857142,0.5219055469149497,0.5009597059712863,0.0
direct,ground,15.714285714285714,0.5230972954280099,0.5010669701121776,0.0
direct,ground,15.785714285714285,0.5242822533392216,0.5011792556544603,0.0
direct,ground,15.857142857142856,0.5254604593714183,0.5012964699828073,0.0
direct,ground,15.928571428571427,0.5266319520316532,0.5014185217380327,0.0
direct,ground,16.0,0.5277967696127578,0.5015453208018095,0.0
direct,ground,16.07142857142857,0.5289549501948995,0.5016767782815783,0.0
direct,ground,16.142857142857142,0.5301065316471395,0.5018128064956405,0.0
direct,ground,16.21428571428571,0.5312515516289905,0.5019533189584389,0.0
direct,ground,16.285714285714285,0.5323900475919751,0.5020982303660207,0.0
direct,ground,16.357142857142858,0.5335220567811827,0.5022474565816817,0.0
direct,ground,16.428571428571427,0.5346476162368281,0.5024009146217892,0.0
direct,ground,16.5,0.5357667627535323,0.5025585226357349,0.0
direct,ground,16.57142857142857,0.5368795324912387,0.5027201998335447,0.0
direct,ground,16.642857142857142,0.5379859616648501,0.5028858665672069,0.0
direct,ground,16.71428571428571,0.5390860863934094,0.5030554442991062,0.0
direct,ground,16.785714285714285,0.5401799425904007,0.5032288555731357,0.0
direct,ground,16.857142857142858,0.5412675659650598,0.5034060240013611,0.0
direct,ground,16.928571428571427,0.5423489920236829,0.5035868742508439,0.0
direct,ground,17.0,0.5434242560709373,0.5037713320306287,0.0
direct,ground,17.07142857142857,0.5444933932111697,0.5039593240788877,0.0
direct,ground,17.142857142857142,0.5455564383497173,0.5041507781502231,0.0
direct,ground,17.21428571428571,0.5466134261942165,0.5043456230031275,0.0
direct,ground,17.285714285714285,0.5476643912559124,0.5045437883875934,0.0
direct,ground,17.357142857142858,0.5487093678509692,0.5047452050328822,0.0
direct,ground,17.428571428571427,0.5497483901017791,0.5049498046354375,0.0
direct,ground,17.5,0.5507814919382726,0.5051575198469538,0.0
direct,ground,17.57142857142857,0.5518087070992274,0.5053682842625872,0.0
direct,ground,17.642857142857142,0.5528300691335785,0.5055820324093173,0.0
direct,ground,17.71428571428571,0.5538456114017279,0.5057986997344517,0.0
direct,ground,17.785714285714285,0.5548553670768541,0.5060182225942729,0.0
direct,ground,17.857142857142858,0.5558593691462215,0.5062405382428278,0.0
direct,ground,17.928571428571427,0.55685765041249,0.5064655848208578,0.0
direct,ground,18.0,0.5578502434916724,0.5066933013440915,0.0
direct,ground,18.07142857142857,0.5588371807050364,0.5069236276666342,0.0
direct,ground,18.142857142857142,0.5598184942298013,0.5071565045038415,0.0
direct,ground,18.21428571428571,0.5607942161112187,0.5073918734251551,0.0
direct,ground,18.285714285714285,0.5617643782141482,0.5076296768323607,0.0
direct,ground,18.357142857142858,0.562729012224298,0.5078698579492722,0.0
direct,ground,18.428571428571427,0.5636881496494671,0.5081123608115459,0.0
direct,ground,18.5,0.5646418218207846,0.5083571302566201,0.0
direct,ground,18.57142857142857,0.5655900598939514,0.5086041119137843,0.0
direct,ground,18.642857142857142,0.5665328948504806,0.5088532521943703,0.0
direct,ground,18.71428571428571,0.5674703574989391,0.5091044982820693,0.0
direct,ground,18.785714285714285,0.5684024784761877,0.5093577981233707,0.0
direct,ground,18.857142857142858,0.5693292882486222,0.5096131004181211,0.0
direct,ground,18.928571428571427,0.5702508171134142,0.5098703546102047,0.0
direct,ground,19.0,0.5711670951997524,0.5101295108783412,0.0
direct,ground,19.07142857142857,0.5720781524700826,0.5103905201270009,0.0
direct,ground,19.142857142857142,0.5729840187213497,0.5106533339774366,0.0
direct,ground,19.21428571428571,0.5738847235862374,0.5109179047588294,0.0
direct,ground,19.285714285714285,0.5747802965344098,0.5111841854995485,0.0
direct,ground,19.357142857142858,0.5756707668737518,0.5114521299185235,0.0
direct,ground,19.428571428571427,0.5765561637516105,0.5117216924167268,0.0
direct,ground,19.5,0.5774365161558164,0.5119928280687001,0.0
direct,ground,19.57142857142857,0.5783118526099452,0.5122654925184037,0.0
direct,ground,19.642857142857142,0.5791822014440369,0.5125396420510482,0.0
direct,ground,19.71428571428571,0.580047591069346,0.5128152336720104,0.0
direct,ground,19.785714285714285,0.5809080497349953,0.513092225023841,0.0
direct,ground,19.857142857142858,0.5817636055289853,0.513370574378199,0.0
direct,ground,19.928571428571427,0.5826142863792044,0.5136502406278906,0.0
